Date,Close,High,Low,Open,Volume,ema_200,momentum,RSI,regime
2018-01-02,10.548999786376951,10.571999549865724,10.10200023651123,10.159000396728516,13945000,,,,0
2018-01-03,10.774999618530272,10.812000274658203,10.616999626159668,10.63599967956543,11627000,,,,0
2018-01-04,10.994999885559082,11.005999565124512,10.720999717712402,10.833000183105469,11610000,,,,0
2018-01-05,11.05799961090088,11.177000045776367,10.902000427246094,11.05500030517578,7710000,,,,0
2018-01-08,11.234999656677246,11.269000053405762,10.99899959564209,10.99899959564209,7487000,,,,0
2018-01-09,11.072999954223633,11.366999626159668,10.972999572753906,11.234999656677246,7441000,,,,0
2018-01-10,11.100000381469728,11.145999908447266,10.899999618530272,10.970000267028809,6678000,,,,0
2018-01-11,11.11299991607666,11.175000190734863,11.050000190734863,11.107000350952148,6395000,,,,0
2018-01-12,11.279999732971191,11.449999809265137,11.109000205993652,11.128999710083008,8460000,,,,0
2018-01-16,11.19200038909912,11.465999603271484,11.118000030517578,11.46500015258789,11755000,,,,0
2018-01-17,11.491000175476074,11.583999633789062,11.14799976348877,11.255999565124512,12265000,,,,0
2018-01-18,11.479999542236328,11.67300033569336,11.406999588012695,11.447999954223633,6976000,,,,0
2018-01-19,11.54800033569336,11.581000328063965,11.460000038146973,11.510000228881836,6929000,,,,0
2018-01-22,11.942999839782717,11.96500015258789,11.543999671936035,11.543999671936035,11804000,,,,0
2018-01-23,11.869000434875488,12.005999565124512,11.579999923706056,11.970999717712402,11350000,,,83.16586514845449,0
2018-01-24,11.967000007629396,12.19499969482422,11.824999809265137,11.975000381469728,10238000,,,84.0136865429488,0
2018-01-25,12.489999771118164,12.62399959564209,12.032999992370604,12.100000381469728,19406000,,,87.60223595095168,0
2018-01-26,12.906999588012695,13.04699993133545,12.399999618530272,12.63599967956543,20374000,,,89.60571297426989,0
2018-01-29,12.729999542236328,12.996999740600586,12.522000312805176,12.970000267028809,17215000,,,83.44192736973147,0
2018-01-30,12.42099952697754,12.583000183105469,11.909000396728516,12.170000076293944,17379000,,,73.88656607033704,0
2018-01-31,12.791999816894531,12.859000205993652,12.55799961090088,12.612000465393066,12175000,,,77.2544671874991,0
2018-02-01,12.628000259399414,13.115900039672852,12.56999969482422,12.70300006866455,11681000,,,72.78563416761537,0
2018-02-02,12.51200008392334,12.868000030517578,12.380000114440918,12.550000190734863,13712000,,,69.71385305497388,0
2018-02-05,11.829999923706056,12.728500366210938,11.829999923706056,12.057000160217283,23242000,,,55.01359028220833,0
2018-02-06,12.21399974822998,12.270000457763672,11.206000328063965,11.380999565124512,27059000,,,60.11350713230089,0
2018-02-07,12.333999633789062,12.770000457763672,12.140999794006348,12.274999618530272,16960000,,,61.57932899787015,0
